epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8963795304298401,9.999999747378752e-05,0.24840977787971497,0.6605504751205444,0.9411764740943909,0.8095238208770752,0.71321040391922,0.3235294222831726,0.21153846383094788
1,1.0,9.999999747378752e-05,0.02525784634053707,1.0,1.0,0.8095238208770752,0.720186173915863,0.3235294222831726,0.21153846383094788
2,0.9987515807151794,9.999999747378752e-05,0.03202598914504051,1.0,0.9932885766029358,0.8095238208770752,1.021328091621399,0.3235294222831726,0.21153846383094788
3,1.0,9.999999747378752e-05,0.020667921751737595,1.0,1.0,0.8095238208770752,1.0266783237457275,0.3235294222831726,0.21153846383094788
4,1.0,9.999999747378752e-05,0.010956908576190472,1.0,1.0,0.8095238208770752,1.2070482969284058,0.3235294222831726,0.21153846383094788
5,1.0,9.999999747378752e-05,0.003010301850736141,0.0,0.0,0.8095238208770752,1.2096428871154785,0.3235294222831726,0.21153846383094788
6,1.0,4.999999873689376e-05,0.007206551264971495,1.0,1.0,0.8095238208770752,1.281720757484436,0.3235294222831726,0.21153846383094788
7,1.0,4.999999873689376e-05,0.0036338649224489927,1.0,1.0,0.8095238208770752,1.283434510231018,0.3235294222831726,0.21153846383094788
8,1.0,4.999999873689376e-05,0.006353675853461027,1.0,1.0,0.8095238208770752,1.3681631088256836,0.3235294222831726,0.21153846383094788
9,1.0,4.999999873689376e-05,0.0036787427961826324,1.0,1.0,0.8095238208770752,1.3694722652435303,0.3235294222831726,0.21153846383094788
10,1.0,4.999999873689376e-05,0.00461547402665019,1.0,1.0,0.8095238208770752,1.4213590621948242,0.3235294222831726,0.21153846383094788
